PARTIE 	 第一
. 	 。
— 	 “
Évidemment 	 肯定
c' 	 是
, 	 ，
le 	 这
encore 	 还
besoin 	 用
prouver 	 证实
? 	 ？
à 	 戴
lunettes 	 眼镜
Le 	 的
militaire 	 军人
reprit 	 拿走
la 	 了
revue 	 杂志
et 	 ，
présentations 	 介绍
: 	 ，
— 	 “
Voici 	 这
Rouge 	 红岸
Côte 	 红岸
base 	 基地
Lei 	 雷志成
Zhicheng 	 雷志成
politique 	 政委
commissaire 	 政委
, 	 。
je 	 我
suis 	 是
Yang 	 杨卫宁
Weining 	 杨卫宁
, 	 ，
base 	 基地
en 	 的
de 	 的
chef 	 总工程师
ingénieur 	 总工程师
. 	 。
de 	 离
atterrissage 	 降落
encore 	 还有
une 	 一个
heure 	 小时
, 	 ，
-vous 	 你
reposez 	 休息
. 	 。
Yang 	 杨卫宁
Weining 	 杨卫宁
? 	 ？
Ye 	 叶文洁
Wenjie 	 叶文洁
ne 	 没有
répondit 	 说
, 	 ，
se 	 只是
surprise 	 吃惊
de 	 地
avec 	 地
regarder 	 看
le 	 他
. 	 ，
remarqua 	 发现
qu' 	 发现
il 	 他
air 	 表情
n' 	 很
avait 	 很
serein 	 平静
; 	 ，
manifestement 	 显然
pas 	 不
intention 	 想
de 	 让
à 	 让
compagnon 	 旁人
révéler 	 知道
ils 	 他们
connaissaient 	 认识
. 	 。
Yang 	 杨卫宁
Weining 	 杨卫宁
autrefois 	 曾
été 	 是
Ye 	 叶哲泰
Zhetai 	 叶哲泰
l' 	 的
étudiant 	 研究生
. 	 ，
il 	 他
diplôme 	 毕业
où 	 时
Wenjie 	 叶文洁
juste 	 刚
entrer 	 上
. 	 。
aujourd'hui 	 现在
encore 	 还
bien 	 清楚
rappelait 	 记得
Yang 	 杨卫宁
Weining 	 杨卫宁
première 	 第一
fois 	 次
chez 	 里
venu 	 来
la 	 的
. 	 ，
Il 	 他
juste 	 刚
entrée 	 考上
recherche 	 研究生
et 	 ，
avec 	 与
père 	 导师
discuter 	 谈
orientations 	 方向
. 	 。
Yang 	 杨卫宁
Weining 	 杨卫宁
exprimé 	 说
son 	 他
désir 	 想
voulait 	 想
travailler 	 搞
de 	 于
dans 	 于
des 	 于
expérimentales 	 实验
et 	 和
appliquées 	 应用
le 	 的
domaine 	 课题
, 	 ，
autant 	 尽可能
possible 	 尽可能
fondamentales 	 基础理论
théories 	 基础理论
écart 	 远
tenir 	 些
. 	 。
Wenjie 	 叶文洁
souvenait 	 记得
père 	 父亲
avait 	 是
ce 	 这样
répondu 	 说
: 	 ：
Je 	 我
ne 	 不
oppose 	 反对
, 	 ，
mais 	 但
nous 	 我们
pas 	 毕竟
sommes 	 是
théorique 	 理论
physique 	 物理
spécialistes 	 专业
. 	 ，
telle 	 这样
résolution 	 理由
? 	 ？
Yang 	 杨卫宁
Weining 	 杨卫宁
répondu 	 回答
qu' 	 ：
il 	 我
souhaitait 	 想
à 	 于
époque 	 时代
apporter 	 做
une 	 一些
réelle 	 实际
contribution 	 贡献
. 	 。
Zhetai 	 父亲
rétorqué 	 说
que 	 ：
théorie 	 理论
était 	 是
expérience 	 应用
le 	 的
fondement 	 基础
: 	 ，
découvrir 	 发现
nature 	 自然规律
lois 	 自然规律
pas 	 不
était 	 是
tout 	 最
aussi 	 最
importante 	 大
une 	 的
contribution 	 贡献
? 	 ？
Yang 	 杨卫宁
Weining 	 杨卫宁
hésité 	 犹豫
un 	 一下
moment 	 一下
avant 	 终于
lâcher 	 说
de 	 了
que 	 ：
théoriques 	 理论
études 	 研究
facilement 	 容易
à 	 在
des 	 在
idéologiques 	 思想
fautes 	 错误
. 	 。
Cet 	 这话
argument 	 这话
plongé 	 让
père 	 父亲
silence 	 沉默
. 	 。
Yang 	 杨卫宁
Weining 	 杨卫宁
était 	 是
un 	 个
talentueux 	 才华
garçon 	 人
, 	 ，
mathématiques 	 数学
esprit 	 功底
vif 	 扎实
et 	 ，
solides 	 敏捷
, 	 ，
mais 	 但
pendant 	 在
brève 	 不
la 	 的
études 	 研究生
période 	 生涯
durant 	 中
, 	 ，
il 	 他
avec 	 与
professeur 	 导师
maintint 	 保持
une 	 着
respectueuse 	 敬而远之
que 	 敬而远之
distante 	 敬而远之
relation 	 距离
. 	 。
cette 	 那时
époque 	 那时
Wenjie 	 叶文洁
et 	 与
Yang 	 杨卫宁
Weining 	 杨卫宁
souvent 	 经常
croisaient 	 见面
, 	 ，
peut-être 	 许
en 	 是
raison 	 受
père 	 父亲
influence 	 影响
ne 	 没有
guère 	 过多
attention 	 注意
lui 	 他
. 	 ，
Quant 	 至于
à 	 至于
il 	 他
s' 	 否
intéressait 	 注意
, 	 ，
Wenjie 	 叶文洁
l' 	 就
ignorait 	 不
. 	 。
après 	 来
Yang 	 杨卫宁
Weining 	 杨卫宁
diplôme 	 毕业
, 	 ，
Peu 	 不
temps 	 久
avec 	 与
professeur 	 导师
coupa 	 中断
les 	 了
ponts 	 联系
. 	 。
Wenjie 	 叶文洁
nouvelle 	 再次
fois 	 再次
faible 	 虚弱
ferma 	 闭
yeux 	 眼睛
Après 	 后
, 	 ，
deux 	 两
Les 	 名
militaires 	 军人
quittèrent 	 离开
la 	 她
et 	 ，
aller 	 到
une 	 一
malle 	 箱子
derrière 	 后面
basse 	 低声
voix 	 低声
chuchoter 	 交谈
. 	 。
cabine 	 机舱
étriquée 	 狭窄
, 	 ，
et 	 ，
dans 	 在
moteur 	 引擎
du 	 的
vrombissement 	 轰鸣声
ne 	 还是
parvenait 	 还是
saisit 	 听到
leur 	 他们
quelques 	 的
conversation 	 话
: 	 ——
— 	 “
J' 	 我
même 	 还是
intuition 	 觉得
que 	 觉得
c' 	 这
idée 	 事儿
mauvaise 	 不
. 	 。
C' 	 这
était 	 是
Lei 	 雷志成
Zhicheng 	 雷志成
la 	 的
voix 	 声音
. 	 。
Yang 	 杨卫宁
Weining 	 杨卫宁
rétorqua 	 反问
: 	 ：
— 	 “
Aurait 	 那
-on 	 你
par 	 从
légale 	 正常
habituelle 	 正常
voie 	 渠道
avec 	 给
compétences 	 需要
une 	 的
ses 	 的
personne 	 人
? 	 ？
— 	 “
, 	 ，
m' 	 我
faute 	 费
est 	 了
n' 	 很
pas 	 很
démené 	 劲
! 	 。
ce 	 这种
domaine 	 专业
si 	 从军
militaire 	 从军
suis 	 找
n' 	 不
avec 	 从
civils 	 地方
, 	 ，
peines 	 问题
n' 	 就
. 	 ，
Tu 	 你
connais 	 知道
ce 	 这
projet 	 项目
de 	 的
degré 	 级别
abord 	 首先
est 	 得
prendre 	 参军
faut 	 要求
avoir 	 的
dans 	 在
armée 	 基地
servi 	 工作
. 	 。
les 	 ，
familles 	 家
militaires 	 随军
Comment 	 怎
font 	 办
? 	 ？
aussi 	 也
retenir 	 得到
base 	 基地
à 	 里
, 	 ，
Elles 	 这
telle 	 这
personne 	 谁
n' 	 都
accepte 	 愿意
. 	 。
trouvé 	 找到
deux 	 两
qui 	 的
candidats 	 候选人
préféraient 	 宁肯
envoyés 	 待
dans 	 在
7 	 五七干校
écoles 	 五七干校
encore 	 也不来
. 	 。
bien 	 当然
sûr 	 当然
peut 	 可以
forcer 	 硬调
mais 	 但
ce 	 这种
genre 	 这种
travail 	 工作
, 	 ，
pour 	 要是
mieux 	 不
gré 	 安心
leur 	 都
venues 	 干
plein 	 不
de 	 出
il 	 的
. 	 。
— 	 “
donc 	 所以
pas 	 只能
le 	 这
choix 	 办
. 	 。
— 	 “
Mais 	 可
c' 	 这
contraire 	 违反
règlement 	 常规
est 	 了
. 	 。
— 	 “
C' 	 这个
le 	 这个
du 	 这个
projet 	 项目
contourner 	 违反
règlement 	 常规
Si 	 出
chose 	 事儿
j' 	 我
assumerai 	 负责
responsabilité 	 负责
, 	 就是
la 	 了
. 	 。
— 	 “
Yang 	 杨总
Ah 	 啊
, 	 ，
quelle 	 这
responsabilité 	 责
tu 	 你
parles 	 负
? 	 ？
Tu 	 你
la 	 一
tête 	 头
plongée 	 钻
dans 	 在
techniques 	 技术
, 	 ，
Rouge 	 红岸
n' 	 可是
est 	 可是
national 	 国防
défense 	 国防
programme 	 项目
pas 	 不
. 	 ，
Sa 	 它
complexité 	 复杂
va 	 是
bien 	 复杂
au-delà 	 在
des 	 在
techniques 	 技术
. 	 。
— 	 “
je 	 你
ce 	 这
difficilement 	 倒是
peux 	 倒是
contredire 	 实话
. 	 。
atterrirent 	 降落
Quand 	 时
déjà 	 已
soleil 	 傍晚
. 	 ，
Ye 	 叶文洁
Wenjie 	 叶文洁
déclina 	 谢绝
Yang 	 杨卫宁
Weining 	 杨卫宁
et 	 和
Lei 	 雷志成
Zhicheng 	 雷志成
l' 	 的
aide 	 挽扶
et 	 ，
toute 	 自己
seule 	 自己
bien 	 艰难
mal 	 艰难
de 	 地
descendit 	 走
de 	 下
appareil 	 飞机
. 	 ，
Un 	 一阵
violent 	 强风
vent 	 强风
manqua 	 差
de 	 把
faire 	 把
la 	 她
envoler 	 倒
. 	 ，
vent 	 风
soufflant 	 吹
sur 	 在
encore 	 仍
mouvement 	 转动
les 	 的
hélices 	 旋翼
, 	 ，
entendre 	 发出
strident 	 尖利
un 	 的
. 	 。
dans 	 中
qui 	 的
la 	 的
forêt 	 森林
soufflait 	 气息
Wenjie 	 文洁
était 	 很
familière 	 熟悉
, 	 ，
elle 	 她
connaissait 	 认识
ce 	 这
vent 	 风
et 	 ，
ce 	 这
vent 	 风
connaissait 	 认识
la 	 她
, 	 ，
c' 	 这
était 	 是
Grand 	 大兴安岭
Khingan 	 大兴安岭
des 	 的
. 	 。
elle 	 她
Bien 	 很快
vite 	 很快
entendit 	 听到
autre 	 另
bruit 	 声音
, 	 ，
un 	 一个
grave 	 低沉
énergique 	 浑厚
bourdonnement 	 嗡嗡
, 	 ，
vaste 	 浑厚
et 	 而
puissant 	 有力
, 	 ，
semblait 	 似乎
servir 	 构成
ce 	 整个
monde 	 世界
de 	 的
décor 	 背景
. 	 ，
C' 	 这
était 	 是
parabolique 	 抛
battue 	 抛
antenne 	 天线
par 	 在
vent 	 风
en 	 到
l' 	 了
approchant 	 跟前
, 	 ，
pouvait 	 能
véritablement 	 真正
mesurer 	 感受
ce 	 这
voilage 	 天
l' 	 的
immensité 	 巨大
. 	 。
Wenjie 	 叶文洁
la 	 的
vie 	 人生
En 	 在
un 	 一个
mois 	 月
, 	 里
effectué 	 转
une 	 一个
grande 	 大圈
boucle 	 大圈
et 	 又
, 	 来了——
elle 	 她
maintenant 	 现在
trouvait 	 是
au 	 在
Radar 	 雷达峰
pic 	 雷达峰
. 	 。
Wenjie 	 叶文洁
ne 	 不
put 	 由
empêcher 	 由
tourner 	 转头
tête 	 转头
dans 	 朝
elle 	 她
construction 	 建设
Corps 	 兵团
campement 	 连
la 	 的
direction 	 方向
regarder 	 望
, 	 ，
qu' 	 只
vit 	 看到
crépuscule 	 暮色
par 	 中
un 	 一
brumeux 	 迷蒙
du 	 的
arbres 	 林海
océan 	 林海
. 	 。
hélicoptère 	 直升机
paraissait 	 显然
pas 	 不
été 	 是
spécialement 	 专
affrété 	 接
elle 	 她
: 	 ，
des 	 几
soldats 	 士兵
approchèrent 	 走过
pour 	 ，
cabine 	 机舱
de 	 里
embarquer 	 卸下
les 	 那些
malles 	 货箱
. 	 ，
Ils 	 他们
elle 	 她
sol 	 身边
passèrent 	 走过
, 	 ，
sans 	 没
même 	 人
jeter 	 看
lui 	 她
un 	 一
regard 	 眼
. 	 。
elle 	 她
Lei 	 雷志成
Zhicheng 	 雷志成
, 	 、
Yang 	 杨卫宁
Weining 	 杨卫宁
continuèrent 	 继续
leur 	 向前
droit 	 向前
chemin 	 走
. 	 ，
Wenjie 	 叶文洁
remarqua 	 发现
Radar 	 雷达峰
pic 	 雷达峰
la 	 的
du 	 的
superficie 	 峰顶
était 	 是
étendue 	 宽阔
. 	 ，
Du 	 在
antenne 	 天线
de 	 的
pied 	 下面
un 	 一
complexe 	 群
blancs 	 白色
bâtiments 	 建筑物
avec 	 与
antenne 	 天线
contraste 	 相比
, 	 ，
qui 	 它们
ressemblaient 	 像
de 	 几
délicats 	 精致
de 	 的
cubes 	 积木
. 	 。
Ils 	 他们
par 	 有
deux 	 两
soldats 	 哨兵
l' 	 的
de 	 的
base 	 基地
entrée 	 大门
dirigèrent 	 走
vers 	 去
. 	 ，
porte 	 门前
devant 	 门前
Ils 	 他们
arrêtèrent 	 停
. 	 。
Lei 	 雷志成
Zhicheng 	 雷志成
tourna 	 转向
vers 	 转向
Ye 	 叶文洁
Wenjie 	 叶文洁
et 	 ，
gravité 	 郑重
dit 	 说
: 	 ：
— 	 “
Ye 	 叶文洁
Wenjie 	 叶文洁
, 	 ，
vous 	 你
contre-révolutionnaire 	 反革命
crimes 	 罪行
acte 	 罪行
convaincue 	 证据确凿
travaillant 	 面临
de 	 的
peine 	 审判
trahison 	 审判
est 	 是
à 	 罪有应得
la 	 罪有应得
de 	 罪有应得
faute 	 罪有应得
. 	 ；
aujourd'hui 	 现在
vous 	 你
avez 	 有
une 	 一个
expier 	 立功赎罪
opportunité 	 机会
à 	 可以
prendre 	 接受
ou 	 ，
à 	 可以
laisser 	 拒绝
. 	 。
Il 	 他
antenne 	 天线
direction 	 方向
indiqua 	 指
la 	 了
: 	 ，
— 	 “
dans 	 是
un 	 一个
militaro 	 国防
industriel 	 科研
complexe 	 基地
. 	 ，
L' 	 其中
menés 	 正在
de 	 的
recherche 	 研究
projets 	 项目
requiert 	 需要
vos 	 你
compétences 	 知识
. 	 ，
plus 	 更
concrets 	 具体
, 	 ，
laisserai 	 请
ingénieur 	 总工程师
Yang 	 为
vous 	 你
expliquer 	 介绍
je 	 你
. 	 。
dit 	 说
il 	 他
à 	 对
Yang 	 杨卫宁点
Weining 	 杨卫宁点
fit 	 杨卫宁点
un 	 了
signe 	 头
tête 	 头
, 	 ，
et 	 ，
suivit 	 尾随
transportaient 	 搬运
matériel 	 物资
de 	 的
soldats 	 士兵
intérieur 	 进
la 	 了
les 	 了
base 	 基地
. 	 。
Yang 	 杨卫宁
Weining 	 杨卫宁
hommes 	 别人
partis 	 走
attendit 	 了
de 	 ，
à 	 向
Ye 	 叶文洁
Wenjie 	 叶文洁
signe 	 示意
un 	 一下
peu 	 一下
de 	 ，
il 	 她
éloigner 	 走
évident 	 显然
était 	 是
craignait 	 怕
soldats 	 哨兵
entendent 	 听到
leur 	 的
conversation 	 谈话
. 	 。
Cette 	 这时
fois 	 这时
, 	 ，
il 	 他
ne 	 不
pas 	 不
plus 	 再
la 	 她
connaître 	 相识
: 	 ：
— 	 “
Wenjie 	 叶文洁
, 	 ，
je 	 我
vais 	 可
te 	 你
parler 	 说
franchement 	 清楚
, 	 ，
ce 	 这
n' 	 不
pas 	 不
est 	 是
une 	 么
opportunité 	 机会
. 	 。
J' 	 我
devant 	 向
Commission 	 法院
militaire 	 军管会
responsable 	 军管会
défendu 	 了
, 	 ，
Cheng 	 程丽华
Lihua 	 程丽华
cause 	 判
et 	 但
préconisée 	 具体
ta 	 你
te 	 你
la 	 的
des 	 的
situation 	 情节
, 	 ，
prison 	 刑期
maximum 	 多
au 	 也
vaudrait 	 就
dix 	 十
ans 	 年
qui 	 ，
fonction 	 考虑
malgré 	 考虑
pourraient 	 可能
être 	 的
ramenés 	 减刑
six 	 六七
sept 	 六七
ans 	 年
en 	 的
. 	 。
Mais 	 而
ce 	 这里
lieu 	 这里
– 	 ——
– 	 ”
il 	 他
balaya 	 偏
la 	 一下
base 	 头
est 	 是
ultra-confidentiel 	 最高
de 	 的
recherches 	 研究
complexe 	 项目
et 	 ，
dans 	 以
ton 	 你
cas 	 身份
, 	 ，
cela 	 这
peut-être 	 可能
… 	 ”
Il 	 他
interrompit 	 停
s' 	 了
, 	 ，
comme 	 似乎
s' 	 似乎
souhaitait 	 想
que 	 让
antenne 	 天线
par 	 在
vent 	 风
battue 	 中
le 	 的
bourdonnement 	 轰鸣声
aggrave 	 加重
sa 	 自己
le 	 的
de 	 的
voix 	 语气
ton 	 语气
: 	 ，
— 	 “
sortiras 	 出
ne 	 不来了
. 	 。
— 	 “
J' 	 我
accepte 	 进去
Ye 	 叶文洁
Wenjie 	 叶文洁
. 	 。
Yang 	 杨卫宁
Weining 	 杨卫宁
par 	 对
sa 	 她
rapidité 	 快
de 	 的
décision 	 回答
fut 	 很
surpris 	 吃惊
. 	 。
— 	 “
tu 	 你
ne 	 不
peux 	 必
Rien 	 这
peu 	 匆忙
réfléchir 	 做
, 	 ，
repart 	 回到
hélicoptère 	 飞机
L' 	 它
trois 	 三
heures 	 小时
dans 	 后
ne 	 才
que 	 才
. 	 ，
tu 	 你
Si 	 要是
l' 	 要是
refuser 	 拒绝
, 	 ，
je 	 我
raccompagner 	 送
te 	 你
là 	 回去
- 	 回去
bas 	 回去
. 	 。
— 	 “
Je 	 我
pas 	 不
retourner 	 回去
, 	 ，
veux 	 吧
entrons 	 吧
. 	 。
Wenjie 	 叶文洁
La 	 的
voix 	 声音
encore 	 仍
très 	 很
faible 	 轻
, 	 ，
mais 	 但
son 	 其中
était 	 有
comme 	 种
métal 	 斩钉截铁
du 	 的
dur 	 坚定
. 	 。
Dorénavant 	 现在
part 	 除
morts 	 死
ignorait 	 不
l' 	 是
existence 	 存在
le 	 的
monde 	 世界
, 	 ，
elle 	 她
seul 	 最
accepterait 	 想
rendre 	 去
le 	 的
endroit 	 地方
était 	 就是
ce 	 这样
monde 	 与世隔绝
coupé 	 与世隔绝
du 	 的
pic 	 峰顶
. 	 ，
Ici 	 这里
, 	 ，
elle 	 她
éprouverait 	 有
un 	 一
longtemps 	 久违
de 	 的
sécurité 	 安全感
sentiment 	 安全感
. 	 。
— 	 “
même 	 还是
Sois 	 还是
prudente 	 慎重
, 	 ，
tu 	 你
dois 	 想
comprendre 	 清楚
cela 	 这
signifie 	 意味着什
que 	 意味着什
ce 	 意味着什
. 	 。
— 	 “
Je 	 我
prête 	 可以
ici 	 这里
rester 	 待
toute 	 一辈子
vie 	 一辈子
. 	 。
Yang 	 杨卫宁
Weining 	 杨卫宁
tut 	 低头
, 	 ，
il 	 他
regarda 	 看
horizon 	 远方
, 	 ，
comme 	 似乎
forcer 	 强行
voulait 	 强行
Wenjie 	 叶文洁
le 	 一些
réflexion 	 思考
prendre 	 权衡
temps 	 时间
. 	 ，
Wenjie 	 叶文洁
aussi 	 也
silencieuse 	 沉默
était 	 着
, 	 ，
dans 	 在
vent 	 风
plongés 	 裹
pardessus 	 大衣
yeux 	 大衣
lointain 	 远方
, 	 ，
Les 	 ，
Grand 	 大兴安岭
Khingan 	 大兴安岭
montagnes 	 大兴安岭
avaient 	 已
disparu 	 消失
dans 	 在
épaisse 	 浓浓
de 	 的
nuit 	 夜色
obscurité 	 夜色
. 	 。
en 	 在
hiver 	 严寒
ne 	 不
peut 	 可能
rester 	 有
longtemps 	 很多
. 	 ，
Yang 	 杨卫宁
Weining 	 杨卫宁
décida 	 下决心
diriger 	 起步
vers 	 走向
l' 	 大门
entrée 	 大门
, 	 ，
marchait 	 走
vite 	 快
, 	 ，
comme 	 像
voulait 	 要
laisser 	 把
Wenjie 	 叶文洁
derrière 	 甩掉
s' 	 的
, 	 ，
mais 	 但
accrochait 	 紧跟着
lui 	 他
pour 	 ，
franchirent 	 走
la 	 了
Rouge 	 红岸
base 	 基地
de 	 的
la 	 的
grande 	 大门
porte 	 大门
. 	 。
deux 	 两
gardes 	 哨兵
eux 	 他们
derrière 	 通过
refermèrent 	 关上
les 	 了
deux 	 两
lourds 	 沉重
de 	 的
métal 	 铁门
battants 	 铁门
. 	 。
marché 	 走
un 	 一
moment 	 段
Après 	 后
, 	 ，
Yang 	 杨卫宁
Weining 	 杨卫宁
arrêta 	 站住
. 	 ，
désigna 	 指
antenne 	 天线
à 	 对
Wenjie 	 文洁
: 	 ：
— 	 “
Il 	 这
agit 	 是
un 	 一个
grand 	 大型
arme 	 武器
développement 	 研究
projet 	 项目
. 	 ，
Si 	 如果
succès 	 成功
, 	 ，
le 	 其
résultat 	 意义
sera 	 可能
que 	 比
nucléaire 	 原子弹
bombe 	 原子弹
ou 	 和
H. 	 氢弹
bombe 	 氢弹
révolutionnaire 	 大
Arrivé 	 在
devant 	 路过
base 	 基地
de 	 内
plus 	 最
gros 	 大
le 	 的
bâtiment 	 建筑
, 	 ，
Yang 	 杨卫宁
Weining 	 杨卫宁
directement 	 径直
poussa 	 推开
porte 	 门
Wenjie 	 叶文洁
au 	 在
vit 	 看到
la 	 了
" 	 “
transmissions 	 发射
contrôle 	 主控室
Console 	 主控室
" 	 ”
. 	 ，
une 	 一
bouffée 	 股
moteur 	 机油味
chaude 	 机油味
de 	 的
vapeur 	 热气
reçut 	 迎面
entrés 	 扑
. 	 ，
elle 	 她
Elle 	 她
découvrit 	 看到
que 	 看到
vaste 	 宽敞
le 	 的
hall 	 大厅
était 	 ，
empestait 	 摆放
de 	 着
tous 	 各类
types 	 各类
machines 	 仪器
signaux 	 信号灯
et 	 和
oscilloscopes 	 示波仪
instruments 	 示波仪
d' 	 的
les 	 的
vacillements 	 发光
éclairée 	 闪成
. 	 ，
peine 	 几乎
était 	 将
il 	 他们
inscrit 	 埋没
des 	 的
. 	 。
code 	 操作
opérations 	 操作
mots 	 口令
se 	 口令
en 	 此起彼伏
succédaient 	 此起彼伏
par 	 此起彼伏
vagues 	 此起彼伏
, 	 ，
paraissait 	 显得
fois 	 显得
nerveuse 	 紧张
et 	 而
désordonnée 	 混乱
. 	 。
— 	 “
ici 	 这里
meilleur 	 暖和
. 	 ，
Attends 	 等
un 	 一会儿
moment 	 一会儿
Je 	 我
vais 	 去
veiller 	 安排
prépare 	 安排
te 	 你
une 	 的
chambre 	 住处
. 	 。
Yang 	 杨卫宁
Weining 	 杨卫宁
à 	 对
dit 	 说
, 	 ，
avant 	 并
montrer 	 指指门
une 	 一
table 	 桌子
côté 	 旁
chaise 	 椅子
lui 	 她
. 	 。
Wenjie 	 叶文洁
vit 	 看到
que 	 ，
table 	 桌前
était 	 已经
assis 	 坐
quelqu' 	 一个
un 	 一个
d' 	 一个
, 	 ，
un 	 一
armé 	 带
d' 	 带
fusil 	 手枪
militaire 	 卫兵
. 	 。
— 	 “
Je 	 我
dehors 	 外面
attendre 	 等
préfère 	 吧
Wenjie 	 叶文洁
faisant 	 住
demi-tour 	 脚步
lâcha 	 说
. 	 。
Yang 	 杨卫宁
Weining 	 杨卫宁
aimablement 	 和善
sourit 	 笑笑
: 	 ，
— 	 “
tu 	 你
Désormais 	 以后
, 	 就是
es 	 就是
base 	 基地
de 	 的
la 	 的
employée 	 工作
. 	 ，
Hormis 	 除
quelques 	 少数
endroits 	 地方
, 	 ，
tu 	 你
tu 	 你
où 	 里
peux 	 可以
souhaites 	 可以
déplacer 	 去
. 	 。
parler 	 说
fini 	 完
, 	 ，
il 	 他
visage 	 脸上
se 	 有
une 	 一
désarroi 	 不
de 	 的
expression 	 表情
. 	 ，
compris 	 意识
que 	 了
cette 	 这话
phrase 	 这话
autre 	 另
l' 	 的
sens 	 意思
: 	 ：
Tu 	 你
plus 	 再
ne 	 不
pourras 	 能
partir 	 离开
ici 	 这里
. 	 。
— 	 “
Je 	 我
préfère 	 是
attendre 	 去
dehors 	 外面
Wenjie 	 叶文洁
insista 	 坚持
. 	 。
— 	 “
Comme 	 好
voudras 	 好
… 	 ”
Yang 	 杨卫宁
Weining 	 杨卫宁
observa 	 看看
le 	 那位
ne 	 没有
pas 	 没有
remarqués 	 注意
les 	 他们
qui 	 的
militaire 	 卫兵
, 	 ，
. 	 ，
presque 	 似乎
comprit 	 理解
Wenjie 	 叶文洁
et 	 ，
accompagna 	 带
l' 	 她
hors 	 出
contrôle 	 主控室
console 	 主控室
. 	 ，
— 	 “
à 	 到
ici 	 这个
l' 	 这个
abri 	 避风
vent 	 避风
, 	 ，
je 	 我
quelques 	 几
minutes 	 分钟
dans 	 就
reviens 	 回
. 	 ，
simplement 	 主要
demander 	 找
quelqu' 	 人
un 	 人
dans 	 给
ta 	 那个
chambre 	 房间
allumer 	 生
feu 	 火
. 	 。
Puis 	 快步
éloigna 	 走
. 	 。
Wenjie 	 叶文洁
resta 	 站
à 	 在
contrôle 	 主控室
la 	 的
porte 	 门
côté 	 边
. 	 ，
immense 	 巨大
L' 	 的
antenne 	 天线
se 	 就
dressait 	 竖立
son 	 她
dos 	 身后
derrière 	 身后
, 	 ，
tout 	 整整
juste 	 整整
occupait 	 占据
moitié 	 半
du 	 个
ciel 	 夜空
. 	 。
là 	 这里
, 	 ，
elle 	 她
pouvait 	 能够
distinctement 	 清楚
entendre 	 听到
intérieur 	 里面
les 	 的
bruits 	 声音
. 	 。
Brusquement 	 突然
, 	 ，
la 	 的
des 	 的
cacophonie 	 口令声
mots 	 口令声
éteignit 	 消失
s' 	 了
et 	 ，
salle 	 主控室
sur 	 里
la 	 里
un 	 一
Tout 	 只能
pouvait 	 只能
abattit 	 隐约
juste 	 隐约
entendre 	 听到
appareils 	 仪器
irréguliers 	 偶尔
les 	 的
ronronnements 	 蜂鸣声
. 	 ，
Puis 	 接着
un 	 一个
rompit 	 压倒一切
le 	 压倒一切
homme 	 男音
voix 	 男音
: 	 ：
— 	 “
l' 	 中国
populaire 	 人民
Armée 	 解放军
2e 	 第二
artillerie 	 炮兵
corps 	 炮兵
. 	 ，
Rouge 	 红岸
Projet 	 工程
147 	 第147
. 	 ，
autorisée 	 授权
, 	 ，
30 	 30
secondes 	 秒
. 	 ！
cible 	 目标
Catégorie 	 类别
: 	 ：
3A 	 甲三
; 	 ；
position 	 坐标
: 	 ：
BN20197F 	 BN
; 	 ；
vérification 	 校核
Fin 	 完毕
, 	 ，
25 	 25
secondes 	 秒
! 	 ！
transmission 	 发射
fichier 	 文档号
Numéro 	 文档号
: 	 ：
22 	 22
; 	 ；
Annexe 	 附加
: 	 ：
nulle 	 无
; 	 ；
Extension 	 续传
: 	 ：
nulle 	 无
; 	 ；
fichier 	 文档
vérification 	 校核
Fin 	 完毕
, 	 ，
20 	 20
secondes 	 秒
! 	 ！
énergie 	 能源
pôle 	 单元
Rapport 	 报告
: 	 ，
OK 	 正常
! 	 ！
codage 	 编码
pôle 	 单元
Rapport 	 报告
: 	 ：
OK 	 正常
! 	 ！
amplificateur 	 功放
pôle 	 单元
Rapport 	 报告
: 	 ：
OK 	 正常
! 	 ！
perturbations 	 干扰
détection 	 监测
Rapport 	 报告
: 	 ：
dans 	 在
autorisées 	 许可
limites 	 范围
! 	 ！
programme 	 程序
irrévocable 	 不
: 	 ，
15 	 5
secondes 	 秒
Entrée 	 倒数
! 	 ！
Tout 	 一切
redevint 	 又
silencieux 	 安静
, 	 ，
dix 	 十几
secondes 	 秒
tard 	 后
, 	 ，
une 	 一个
alarme 	 警铃声
retentit 	 响起
antenne 	 天线
sur 	 上
un 	 一
rouge 	 红灯
signal 	 红灯
vitesse 	 急剧
clignoter 	 闪烁
se 	 起
à 	 来
. 	 。
— 	 “
Transmission 	 发射
! 	 ！
chaque 	 各
pôle 	 单元
surveillance 	 监测
! 	 ！
Wenjie 	 叶文洁
sentit 	 感到
visage 	 脸上
léger 	 轻微
un 	 的
picotement 	 瘙痒感
. 	 ，
Elle 	 她
savait 	 知道
un 	 一个
puissant 	 巨大
électrique 	 电场
champ 	 电场
créé 	 出现
était 	 了
. 	 。
Elle 	 她
leva 	 仰头
tête 	 仰头
vent 	 天线
laquelle 	 所
orientait 	 指
la 	 的
direction 	 方向
, 	 ，
voir 	 看到
aperçut 	 看到
nocturne 	 夜空
ciel 	 夜空
dans 	 中
un 	 一
nuage 	 薄云
émettant 	 发出
bleu 	 蓝光
, 	 ，
si 	 很
faible 	 微弱
abord 	 最初
elle 	 她
