PARTIE 	 第一
comme 	 仿佛
oisillon 	 小鸟
amoureux 	 眷恋
du 	 着
ciel 	 天空
. 	 。
l’ 	 “
rouges 	 红色
Union 	 联合
Les 	 的
gardes 	 战士
salves 	 欢呼
joie 	 欢呼
tirèrent 	 起
. 	 ，
Certains 	 几
grimpèrent 	 冲
jusqu’ 	 到
toit 	 楼下
tour 	 楼下
arrachèrent 	 掀开
l’ 	 四．二八
de 	 的
étendard 	 旗帜
de 	 的
dépouille 	 遗体
et 	 ，
comme 	 作为
un 	 一个
guerre 	 战利品
trophée 	 战利品
fièrement 	 炫耀
, 	 ，
avant 	 然后
la 	 她
lancer 	 扔
au 	 向
grande 	 大院
cour 	 大院
la 	 的
portail 	 铁门
. 	 ，
portail 	 铁门
extrémités 	 上
pointues 	 尖
Les 	 的
métalliques 	 金属
barreaux 	 栅条
au 	 在
combat 	 武斗
début 	 初期
avaient 	 就
été 	 被
arrachés 	 抽
de 	 当
lances 	 梭标
. 	 ，
plus 	 剩下
que 	 的
deux 	 两
Il 	 那
lesquels 	 ，
la 	 ，
restait 	 回到
cette 	 那个
par 	 那个
malchance 	 柔软
empaler 	 柔软
. 	 。
rouges 	 红色
Union 	 联合
de 	 的
gardes 	 红卫兵
Les 	 们
regagner 	 退
firent 	 退
un 	 一
pas 	 距离
et 	 ，
ce 	 那个
suspendu 	 挂
en 	 在
gracieux 	 高处
de 	 的
corps 	 躯体
comme 	 当
cible 	 靶子
entraînement 	 练习
mitraillèrent 	 射击
. 	 ，
nourri 	 密集
feu 	 子弹
pour 	 对
la 	 她
fut 	 已
doux 	 柔和
ne 	 不
plus 	 再
ressentait 	 带
rien 	 任何
, 	 ，
elle 	 她
Ce 	 那
printanière 	 春藤
ondée 	 春藤
telles 	 般
de 	 的
bras 	 手臂
aussi 	 时
moments 	 时
comme 	 仿佛
soulevaient 	 拂
ses 	 身上
des 	 的
pluie 	 雨滴
branches 	 雨滴
, 	 ，
jusqu’ 	 直到
si 	 直到
à 	 直到
son 	 那
jeune 	 年轻
la 	 的
tête 	 头颅
se 	 被
balayé 	 打
par 	 了
des 	 一半
moitié 	 一半
reste 	 剩
la 	 的
un 	 一
magnifique 	 美丽
de 	 的
contempler 	 凝视
par 	 着
cette 	 一九六七年
1967 	 一九六七年
année 	 一九六七年
le 	 的
de 	 的
bleu 	 蓝天
ciel 	 蓝天
. 	 ，
où 	 中
ne 	 没有
un 	 没有
espoir 	 痛苦
et 	 ，
plus 	 只有
une 	 只有
inflexibles 	 凝固
et 	 和
ardeur 	 渴望
. 	 。
en 	 其实
réalité 	 其实
, 	 ，
que 	 比
autres 	 另外
, 	 ，
Elle 	 她
plus 	 还是
eu 	 还是
chance 	 幸运
de 	 的
: 	 ，
au 	 至少
moins 	 至少
avait 	 是
au 	 在
d’ 	 在
idéaliste 	 理想
sacrifié 	 献身
cœur 	 献身
un 	 的
de 	 的
plein 	 壮丽
passion 	 激情
. 	 。
Ce 	 这样
fanatisme 	 热点
empara 	 遍布
entière 	 整
la 	 座
ville 	 城市
, 	 ，
comme 	 像
parallèle 	 并行
fonctionnaient 	 运算
des 	 的
processeurs 	 CPU
La 	 将
était 	 将
devenue 	 将
“ 	 “
culturelle 	 文革大革命
Révolution 	 文革大革命
” 	 ”
un 	 一个
seul 	 整体
unique 	 整体
. 	 。
Un 	 疯狂
déluge 	 疯狂
frénétique 	 无形
, 	 ，
, 	 ，
cité 	 城市
abattait 	 淹没
la 	 其中
sur 	 其中
faufilant 	 渗透
dans 	 到
le 	 一个
moindre 	 细微
la 	 的
brèche 	 角落
et 	 和
recoin 	 缝隙
. 	 。
Aux 	 在
ville 	 城市
confins 	 边缘
de 	 的
une 	 那
université 	 大学
le 	 的
terrain 	 操场
, 	 ，
une 	 一
plusieurs 	 几千
milliers 	 几千
personnes 	 人
assistaient 	 参加
de 	 的
critique 	 批斗会
séance 	 批斗会
avait 	 已经
commencé 	 进行
près 	 近
deux 	 两
heures 	 小时
. 	 。
En 	 在
ces 	 这个
factions 	 派别
coexistaient 	 林立
temps 	 年代
, 	 ，
partout 	 任何
éclataient 	 有
complexes 	 错综复杂
des 	 的
conflits 	 格斗
. 	 。
sur 	 在
campus 	 校园
, 	 ，
rouges 	 红卫兵
gardes 	 红卫兵
culturelle 	 文革
travail 	 工作组
Groupe 	 工作组
, 	 、
travailleurs 	 工宣队
propagande 	 工宣队
brigade 	 工宣队
ou 	 和
soldats 	 军宣队
propagande 	 军宣队
brigade 	 军宣队
Rien 	 相互之间
imploser 	 爆发
brutales 	 尖锐
par 	 的
hostilités 	 冲突
. 	 ，
. 	 ，
Chaque 	 每种
groupe 	 派别
finissait 	 又
souvent 	 时时
donnait 	 分化
naissance 	 出
nouvelles 	 新
de 	 的
internes 	 对立派系
coalitions 	 对立派系
et 	 ，
revendiquaient 	 捍卫
chacune 	 各自
uniques 	 不
des 	 的
principes 	 背景
et 	 和
programmes 	 纲领
déchaînaient 	 爆发
plus 	 更
infâme 	 残酷
des 	 的
une 	 的
cruauté 	 较量
. 	 。
pourtant 	 但
cette 	 这
à 	 被
réactionnaire 	 反动
académique 	 学术
Autorité 	 权威
ennemi 	 权威
, 	 ，
partageaient 	 是
commun 	 异议
un 	 的
Ils 	 他们
que 	 也
devaient 	 只能
endurer 	 承受
provenant 	 来
de 	 自
tous 	 各方
côtés 	 各方
des 	 的
féroces 	 残酷
attaques 	 打击
. 	 。
des 	 与
autres 	 其他
de 	 的
adversaires 	 牛鬼蛇神
distinguaient 	 相比
réactionnaire 	 反动
académique 	 学术
membres 	 权威
possédaient 	 有
les 	 他们
des 	 的
particularités 	 特点
. 	 ：
Lorsqu’ 	 当
attaqués 	 打击
première 	 最初
, 	 ，
ils 	 他们
leur 	 的
réaction 	 表现
été 	 是
orgueil 	 高傲
et 	 而
ténacité 	 顽固
de 	 的
, 	 ，
cette 	 这
était 	 是
leur 	 他们
plus 	 最高
attitude 	 阶段
. 	 ；
dans 	 在
capitale 	 首都
, 	 ，
quarante 	 四十
jours 	 天
de 	 的
en 	 里
plus 	 一千七百
sept 	 一千七百
mille 	 一千七百
personnes 	 名
furent 	 被
battues 	 死
mort 	 死
. 	 ，
beaucoup 	 多
d’ 	 的
choisirent 	 选择
de 	 了
une 	 了
plus 	 更
rapide 	 快捷
voie 	 路径
Pour 	 来
échapper 	 逃避
folie 	 疯狂
: 	 ，
She 	 老舍
Wu 	 吴晗
Han 	 吴晗
, 	 、
Bozan 	 葛伯赞
, 	 、
Fu 	 傅雷
, 	 、
Zhao 	 赵九章
Jiuzhang 	 赵九章
, 	 、
Lei 	 群
Qun 	 群
Wen 	 闻捷
Jie 	 闻捷
, 	 、
Hai 	 海默
Mo 	 海默
autres 	 等
eux 	 自己
- 	 自己
mêmes 	 自己
mettre 	 结束
terme 	 结束
à 	 了
des 	 那
autrefois 	 曾经
estimées 	 肃然起敬
vies 	 生命
. 	 。
à 	 从
cette 	 这
étape 	 阶段
survécu 	 幸存
qui 	 的
Ceux 	 人
devenaient 	 ，
aux 	 在
répétés 	 持续
de 	 的
coups 	 打击
progressivement 	 渐渐
insensibles 	 麻木
; 	 ，
c’ 	 这
était 	 是
une 	 一
spirituelle 	 精神
carapace 	 外壳
qui 	 ，
les 	 他们
protégeait 	 避免
final 	 最后
un 	 的
effondrement 	 崩溃
. 	 。
ils 	 他们
Lors 	 在
critique 	 批斗会
séances 	 批斗会
plongeaient 	 进入
dans 	 进入
demi-sommeil 	 半
état 	 状态
, 	 ，
seules 	 只
secouer 	 恫吓
étaient 	 才
même 	 能
à 	 使
leur 	 其
encontre 	 来
, 	 ，
mécaniquement 	 机械
répétaient 	 重复
incalculable 	 无数
nombre 	 无数
de 	 的
aveux 	 认罪词
. 	 ；
Puis 	 然后
, 	 ，
eux 	 他们
entre 	 中
certains 	 一部分
passer 	 进入
à 	 了
troisième 	 第三
étape 	 阶段
: 	 ，
jusqu’ 	 旷日持久
duré 	 旷日持久
critique 	 批判
se 	 将
glorieuse 	 鲜明
la 	 的
politique 	 政治
idéologie 	 图像
comme 	 如
déversait 	 注入
dans 	 注入
leur 	 他们
conscience 	 意识
, 	 ，
ébranlant 	 将
un 	 那
par 	 由
savoir 	 知识
et 	 和
raison 	 理性
façonné 	 构筑
la 	 的
les 	 的
édifice 	 大厦
ils 	 他们
Ils 	 他们
effectivement 	 真
croire 	 相信
coupables 	 罪
, 	 ，
véritablement 	 真
constataient 	 看到
à 	 对
grande 	 伟大
causés 	 构成
dégâts 	 损害
, 	 ，
et 	 并
ils 	 他们
Les 	 的
confessions 	 忏悔
toujours 	 往往
cause 	 知识分子
de 	 的
du 	 的
profondes 	 深刻
sincères 	 真诚
de 	 得
intellectuels 	 红卫兵
, 	 ，
des 	 的
étaient 	 是
de 	 处于
